Supplementary Table 10: Top RNA markers of the Level3M WNN clusters (MarkerFinder results),,,,
,,,,
UID,Symbol,Pearson rho,Pearson p-value,Cell State
NOB1,NOB1,0.238080792,1.24E-10,ERP-7
ILKAP,ILKAP,0.237917895,1.28E-10,ERP-7
FAM136A,FAM136A,0.237450748,1.39E-10,ERP-7
CHCHD3,CHCHD3,0.237442257,1.39E-10,ERP-7
TUBB4B,TUBB4B,0.236619543,1.62E-10,ERP-7
AHCY,AHCY,0.236481762,1.66E-10,ERP-7
CCT4,CCT4,0.236221025,1.74E-10,ERP-7
PEX14,PEX14,0.235814273,1.87E-10,ERP-7
MIIP,MIIP,0.235616189,1.94E-10,ERP-7
EIF4EBP1,EIF4EBP1,0.235484558,1.99E-10,ERP-7
UCK2,UCK2,0.235448667,2.00E-10,ERP-7
ENDOG,ENDOG,0.235446523,2.00E-10,ERP-7
SSBP1,SSBP1,0.235234092,2.08E-10,ERP-7
MRPL45,MRPL45,0.235230619,2.08E-10,ERP-7
ALG8,ALG8,0.235217834,2.09E-10,ERP-7
PSMB2,PSMB2,0.234305893,2.46E-10,ERP-7
NUP93,NUP93,0.23379258,2.70E-10,ERP-7
PSMA4,PSMA4,0.233507176,2.84E-10,ERP-7
ACTR6,ACTR6,0.233025612,3.10E-10,ERP-7
RPAP3,RPAP3,0.232849237,3.20E-10,ERP-7
CALM2,CALM2,0.232267594,3.55E-10,ERP-7
OCIAD1,OCIAD1,0.232209644,3.58E-10,ERP-7
CCT2,CCT2,0.231865793,3.81E-10,ERP-7
MCRS1,MCRS1,0.231781635,3.87E-10,ERP-7
LYPLA2,LYPLA2,0.231215063,4.28E-10,ERP-7
PUF60,PUF60,0.231153964,4.32E-10,ERP-7
MAF1,MAF1,0.230753352,4.64E-10,ERP-7
ALKBH4,ALKBH4,0.230412736,4.93E-10,ERP-7
PFDN1,PFDN1,0.230223215,5.10E-10,ERP-7
STOML2,STOML2,0.229822074,5.47E-10,ERP-7
SDHB,SDHB,0.229639785,5.65E-10,ERP-7
RHNO1,RHNO1,0.229414178,5.88E-10,ERP-7
DDX49,DDX49,0.229055559,6.26E-10,ERP-7
PSMD7,PSMD7,0.228593101,6.79E-10,ERP-7
YDJC,YDJC,0.227508972,8.21E-10,ERP-7
RAE1,RAE1,0.227473946,8.26E-10,ERP-7
PHB2,PHB2,0.227455506,8.29E-10,ERP-7
MRPL55,MRPL55,0.226786321,9.32E-10,ERP-7
ARFIP2,ARFIP2,0.22666683,9.51E-10,ERP-7
PHKG2,PHKG2,0.226549591,9.71E-10,ERP-7
EMC4,EMC4,0.22547643,1.17E-09,ERP-7
SNRPC,SNRPC,0.225035965,1.26E-09,ERP-7
GTPBP6,GTPBP6,0.224942758,1.28E-09,ERP-7
CDC123,CDC123,0.224849943,1.30E-09,ERP-7
PEX10,PEX10,0.224673856,1.34E-09,ERP-7
NDUFAF7,NDUFAF7,0.222432896,1.97E-09,ERP-7
NPRL2,NPRL2,0.220898041,2.56E-09,ERP-7
HADH,HADH,0.219255601,3.37E-09,ERP-7
TFAM,TFAM,0.218454643,3.86E-09,ERP-7
TRAF7,TRAF7,0.217708551,4.37E-09,ERP-7
NDUFS7,NDUFS7,0.217562968,4.48E-09,ERP-7
PA2G4,PA2G4,0.216639418,5.22E-09,ERP-7
WBP11,WBP11,0.216514249,5.33E-09,ERP-7
USP39,USP39,0.216499303,5.34E-09,ERP-7
DDX31,DDX31,0.215485484,6.32E-09,ERP-7
PSMG2,PSMG2,0.21517691,6.65E-09,ERP-7
SAAL1,SAAL1,0.214700222,7.19E-09,ERP-7
HINT3,HINT3,0.214089234,7.95E-09,ERP-7
DUSP11,DUSP11,0.214032526,8.02E-09,ERP-7
EIF5A,EIF5A,0.213828779,8.29E-09,ERP-7
MAGOH,MAGOH,0.213265247,9.09E-09,ERP-7
LSM2,LSM2,0.21297759,9.53E-09,ERP-7
SRM,SRM,0.212790528,9.82E-09,ERP-7
MED27,MED27,0.212575283,1.02E-08,ERP-7
C12orf10,C12orf10,0.212158998,1.09E-08,ERP-7
MRPS21,MRPS21,0.212014809,1.11E-08,ERP-7
DUS3L,DUS3L,0.211427489,1.23E-08,ERP-7
DCTN2,DCTN2,0.211305254,1.25E-08,ERP-7
FASTK,FASTK,0.211112806,1.29E-08,ERP-7
NDUFS8,NDUFS8,0.210463496,1.43E-08,ERP-7
EIF6,EIF6,0.209961295,1.55E-08,ERP-7
NOL7,NOL7,0.209617119,1.64E-08,ERP-7
ATP5F1,ATP5F1,0.208742809,1.89E-08,ERP-7
HDAC3,HDAC3,0.208325385,2.01E-08,ERP-7
APOM,APOM,0.208067028,2.10E-08,ERP-7
TUFM,TUFM,0.207965276,2.13E-08,ERP-7
COQ4,COQ4,0.207940206,2.14E-08,ERP-7
FBXL15,FBXL15,0.207586552,2.27E-08,ERP-7
SNRPD3,SNRPD3,0.206922681,2.52E-08,ERP-7
NDUFS4,NDUFS4,0.206901888,2.53E-08,ERP-7
EFTUD2,EFTUD2,0.206229841,2.81E-08,ERP-7
NDUFV1,NDUFV1,0.205371379,3.21E-08,ERP-7
SDCCAG3,SDCCAG3,0.204511415,3.68E-08,ERP-7
NAE1,NAE1,0.204189485,3.87E-08,ERP-7
LSM5,LSM5,0.203541469,4.28E-08,ERP-7
ZNHIT1,ZNHIT1,0.203033933,4.63E-08,ERP-7
ATG4B,ATG4B,0.202547664,4.99E-08,ERP-7
NDUFA9,NDUFA9,0.20245679,5.06E-08,ERP-7
FAHD2A,FAHD2A,0.201843727,5.56E-08,ERP-7
SF3B5,SF3B5,0.20156546,5.80E-08,ERP-7
PPP1R7,PPP1R7,0.201221634,6.12E-08,ERP-7
PCBP1,PCBP1,0.200953332,6.38E-08,ERP-7
HSD17B12,HSD17B12,0.200282563,7.06E-08,ERP-7
ACBD6,ACBD6,0.199220487,8.31E-08,ERP-7
C19orf53,C19orf53,0.199036898,8.54E-08,ERP-7
NSMCE4A,NSMCE4A,0.198982868,8.61E-08,ERP-7
RABL3,RABL3,0.198928765,8.68E-08,ERP-7
TRIAP1,TRIAP1,0.198625559,9.09E-08,ERP-7
NGDN,NGDN,0.198581158,9.15E-08,ERP-7
SNRPA1,SNRPA1,0.197479728,1.08E-07,ERP-7
NHP2,NHP2,0.19730524,1.11E-07,ERP-7
THAP11,THAP11,0.196630546,1.23E-07,ERP-7
IDH3B,IDH3B,0.196331492,1.28E-07,ERP-7
DCAF4,DCAF4,0.194861475,1.60E-07,ERP-7
RBM8A,RBM8A,0.193412084,1.98E-07,ERP-7
MRPL9,MRPL9,0.193282437,2.02E-07,ERP-7
TMEM183A,TMEM183A,0.192977401,2.11E-07,ERP-7
THOC5,THOC5,0.192695546,2.20E-07,ERP-7
UQCRC1,UQCRC1,0.191003252,2.82E-07,ERP-7
BNIP1,BNIP1,0.189987553,3.27E-07,ERP-7
SNX5,SNX5,0.189843102,3.34E-07,ERP-7
LAMTOR5,LAMTOR5,0.189465475,3.53E-07,ERP-7
ERH,ERH,0.189257757,3.63E-07,ERP-7
HMGA1,HMGA1,0.187978509,4.37E-07,ERP-7
MRPL11,MRPL11,0.186947979,5.06E-07,ERP-7
PSMB7,PSMB7,0.186933271,5.07E-07,ERP-7
SNRPE,SNRPE,0.186397827,5.47E-07,ERP-7
ANKRD39,ANKRD39,0.185951323,5.83E-07,ERP-7
FAM98C,FAM98C,0.184867297,6.80E-07,ERP-7
POLR2L,POLR2L,0.182387882,9.62E-07,ERP-7
HSP90AA1,HSP90AA1,0.180038559,1.33E-06,ERP-7
TOMM22,TOMM22,0.177811147,1.80E-06,ERP-7
FAM103A1,FAM103A1,0.177001666,2.01E-06,ERP-7
COMMD9,COMMD9,0.176350855,2.20E-06,ERP-7
SEH1L,SEH1L,0.176072601,2.28E-06,ERP-7
CCDC22,CCDC22,0.174684883,2.74E-06,ERP-7
SNF8,SNF8,0.174641075,2.76E-06,ERP-7
FAM229B,FAM229B,0.174137858,2.95E-06,ERP-7
SNUPN,SNUPN,0.173858179,3.06E-06,ERP-7
THUMPD3,THUMPD3,0.173265691,3.31E-06,ERP-7
SNX17,SNX17,0.17294382,3.46E-06,ERP-7
ATP5A1,ATP5A1,0.172498957,3.67E-06,ERP-7
RNF187,RNF187,0.172251635,3.79E-06,ERP-7
RSL1D1,RSL1D1,0.171862811,3.98E-06,ERP-7
APRT,APRT,0.170193342,4.95E-06,ERP-7
BRMS1,BRMS1,0.169852619,5.18E-06,ERP-7
ATP5D,ATP5D,0.169678201,5.30E-06,ERP-7
U2AF1,U2AF1,0.169433636,5.47E-06,ERP-7
C18orf21,C18orf21,0.166350579,8.12E-06,ERP-7
GTF3A,GTF3A,0.165974043,8.51E-06,ERP-7
CSNK2B,CSNK2B,0.165551148,8.98E-06,ERP-7
COX5A,COX5A,0.165461651,9.08E-06,ERP-7
BRAT1,BRAT1,0.163417077,1.17E-05,ERP-7
MRPL54,MRPL54,0.163197326,1.21E-05,ERP-7
TMEM237,TMEM237,0.162750969,1.28E-05,ERP-7
UBE2L6,UBE2L6,0.160560029,1.67E-05,ERP-7
USP19,USP19,0.159500604,1.90E-05,ERP-7
WDR83OS,WDR83OS,0.159225487,1.97E-05,ERP-7
DNAJC30,DNAJC30,0.158763739,2.08E-05,ERP-7
DNM2,DNM2,0.158595852,2.12E-05,ERP-7
LCMT1,LCMT1,0.158560228,2.13E-05,ERP-7
PAIP1,PAIP1,0.158235197,2.22E-05,ERP-7
OXA1L,OXA1L,0.15659104,2.71E-05,ERP-7
PSMB4,PSMB4,0.152616879,4.33E-05,ERP-7
SNRPB,SNRPB,0.152450636,4.41E-05,ERP-7
NFRKB,NFRKB,0.149502171,6.21E-05,ERP-7
DDT,DDT,0.148202367,7.20E-05,ERP-7
EIF3G,EIF3G,0.145436024,9.84E-05,ERP-7
AAR2,AAR2,0.139368151,0.000191106,ERP-7
EIF3D,EIF3D,0.136207372,0.000267308,ERP-7
ZNRD1,ZNRD1,0.136063694,0.000271371,ERP-7
SLC16A9,SLC16A9,0.626661943,6.10E-79,ERP-8
GPT,GPT,0.58266462,5.82E-66,ERP-8
SLC44A4,SLC44A4,0.539240095,5.89E-55,ERP-8
AGFG2,AGFG2,0.528785696,1.54E-52,ERP-8
PKLR,PKLR,0.514818497,1.94E-49,ERP-8
METTL13,METTL13,0.512313308,6.73E-49,ERP-8
B3GALNT1,B3GALNT1,0.503613753,4.70E-47,ERP-8
MRPS28,MRPS28,0.488099671,6.77E-44,ERP-8
FAM178B,FAM178B,0.482576913,8.26E-43,ERP-8
MRPL35,MRPL35,0.47930312,3.56E-42,ERP-8
KCNH2,KCNH2,0.474920095,2.46E-41,ERP-8
MUC1,MUC1,0.472443812,7.23E-41,ERP-8
PPIL1,PPIL1,0.472231888,7.92E-41,ERP-8
NUP37,NUP37,0.469131257,3.02E-40,ERP-8
ESPN,ESPN,0.467258865,6.72E-40,ERP-8
DNAJC11,DNAJC11,0.465639636,1.34E-39,ERP-8
ARV1,ARV1,0.465415489,1.47E-39,ERP-8
DLGAP5,DLGAP5,0.460198725,1.32E-38,ERP-8
ASF1A,ASF1A,0.459409763,1.83E-38,ERP-8
AKR1C3,AKR1C3,0.456131756,7.10E-38,ERP-8
EPCAM,EPCAM,0.44337502,1.21E-35,ERP-8
HBQ1,HBQ1,0.441132221,2.91E-35,ERP-8
A4GALT,A4GALT,0.438646144,7.66E-35,ERP-8
CSE1L,CSE1L,0.437565905,1.16E-34,ERP-8
AKAP1,AKAP1,0.433468938,5.61E-34,ERP-8
HOOK1,HOOK1,0.432618095,7.75E-34,ERP-8
MRPL39,MRPL39,0.431263112,1.30E-33,ERP-8
MKS1,MKS1,0.429612519,2.42E-33,ERP-8
FBXO22,FBXO22,0.429460302,2.56E-33,ERP-8
FAHD1,FAHD1,0.426980622,6.48E-33,ERP-8
DNAJA3,DNAJA3,0.426179125,8.73E-33,ERP-8
IPO11,IPO11,0.423522146,2.34E-32,ERP-8
ECI2,ECI2,0.423011839,2.82E-32,ERP-8
MRPS9,MRPS9,0.422996178,2.84E-32,ERP-8
LPCAT3,LPCAT3,0.422445362,3.47E-32,ERP-8
NFS1,NFS1,0.418607134,1.41E-31,ERP-8
CCDC58,CCDC58,0.415206106,4.81E-31,ERP-8
FAM114A2,FAM114A2,0.414984648,5.21E-31,ERP-8
AURKA,AURKA,0.413883548,7.72E-31,ERP-8
ISCA2,ISCA2,0.413520827,8.78E-31,ERP-8
C9orf40,C9orf40,0.41325551,9.66E-31,ERP-8
APOBEC3B,APOBEC3B,0.410511732,2.55E-30,ERP-8
ACTL6A,ACTL6A,0.410081584,2.97E-30,ERP-8
SLC43A3,SLC43A3,0.408993401,4.36E-30,ERP-8
POLE2,POLE2,0.405769474,1.34E-29,ERP-8
PISD,PISD,0.40572002,1.37E-29,ERP-8
UTP20,UTP20,0.403240269,3.22E-29,ERP-8
SREBF1,SREBF1,0.401987232,4.96E-29,ERP-8
PXMP4,PXMP4,0.400791621,7.46E-29,ERP-8
SLC29A1,SLC29A1,0.400680452,7.75E-29,ERP-8
MDN1,MDN1,0.399909909,1.01E-28,ERP-8
MRPL17,MRPL17,0.399799215,1.05E-28,ERP-8
UMPS,UMPS,0.399616022,1.11E-28,ERP-8
MITD1,MITD1,0.39876773,1.49E-28,ERP-8
CXADR,CXADR,0.396145197,3.60E-28,ERP-8
GEMIN2,GEMIN2,0.395046615,5.21E-28,ERP-8
NOC3L,NOC3L,0.394911724,5.45E-28,ERP-8
WDR4,WDR4,0.393770041,7.98E-28,ERP-8
COCH,COCH,0.392730214,1.13E-27,ERP-8
METTL2A,METTL2A,0.392607319,1.17E-27,ERP-8
ATP6V1C1,ATP6V1C1,0.392599389,1.18E-27,ERP-8
GRTP1,GRTP1,0.391834973,1.52E-27,ERP-8
GALNT6,GALNT6,0.389679514,3.09E-27,ERP-8
NMNAT3,NMNAT3,0.389260934,3.54E-27,ERP-8
CBR4,CBR4,0.389115663,3.72E-27,ERP-8
MRPS31,MRPS31,0.387676093,5.96E-27,ERP-8
GART,GART,0.38514334,1.36E-26,ERP-8
MIPEP,MIPEP,0.383151297,2.58E-26,ERP-8
CLPB,CLPB,0.381209653,4.80E-26,ERP-8
WDR12,WDR12,0.380870496,5.35E-26,ERP-8
GEMIN7,GEMIN7,0.38066235,5.72E-26,ERP-8
MSH2,MSH2,0.378416947,1.17E-25,ERP-8
PPT2,PPT2,0.377825954,1.41E-25,ERP-8
PRMT3,PRMT3,0.376436435,2.18E-25,ERP-8
SNX8,SNX8,0.375642713,2.79E-25,ERP-8
RPF2,RPF2,0.373921025,4.78E-25,ERP-8
MALSU1,MALSU1,0.373814963,4.94E-25,ERP-8
REXO2,REXO2,0.372613057,7.18E-25,ERP-8
MRPS18A,MRPS18A,0.372561898,7.29E-25,ERP-8
MRPL50,MRPL50,0.372530562,7.36E-25,ERP-8
NOP10,NOP10,0.371447118,1.03E-24,ERP-8
EPHB4,EPHB4,0.369840734,1.69E-24,ERP-8
OMA1,OMA1,0.369062452,2.14E-24,ERP-8
KLHL7,KLHL7,0.368623343,2.45E-24,ERP-8
NTMT1,NTMT1,0.36710797,3.89E-24,ERP-8
DCUN1D5,DCUN1D5,0.366794728,4.27E-24,ERP-8
MIS18A,MIS18A,0.366427597,4.78E-24,ERP-8
PAK1IP1,PAK1IP1,0.365996678,5.44E-24,ERP-8
CBR1,CBR1,0.364611164,8.27E-24,ERP-8
MRPL2,MRPL2,0.363696107,1.09E-23,ERP-8
BOLA3,BOLA3,0.363304458,1.23E-23,ERP-8
MRPL13,MRPL13,0.360870748,2.53E-23,ERP-8
ATP7A,ATP7A,0.36052442,2.81E-23,ERP-8
NADK2,NADK2,0.360404851,2.91E-23,ERP-8
MYH10,MYH10,0.360343466,2.96E-23,ERP-8
COA6,COA6,0.35978158,3.50E-23,ERP-8
PNPT1,PNPT1,0.35938035,3.94E-23,ERP-8
DHODH,DHODH,0.359188126,4.17E-23,ERP-8
TBC1D23,TBC1D23,0.359075879,4.31E-23,ERP-8
LCA5,LCA5,0.358322613,5.39E-23,ERP-8
TTC32,TTC32,0.358254279,5.50E-23,ERP-8
HSDL2,HSDL2,0.356707515,8.66E-23,ERP-8
LEO1,LEO1,0.3559059,1.09E-22,ERP-8
GTF2F2,GTF2F2,0.355083295,1.39E-22,ERP-8
GPN3,GPN3,0.354911839,1.46E-22,ERP-8
THOC3,THOC3,0.354833142,1.50E-22,ERP-8
TRAPPC4,TRAPPC4,0.354406604,1.69E-22,ERP-8
EIF2S1,EIF2S1,0.354318612,1.74E-22,ERP-8
MRPS22,MRPS22,0.354225217,1.79E-22,ERP-8
MCAT,MCAT,0.353611032,2.13E-22,ERP-8
REPS2,REPS2,0.353172042,2.42E-22,ERP-8
PSMB5,PSMB5,0.353126419,2.46E-22,ERP-8
NCS1,NCS1,0.351794427,3.61E-22,ERP-8
PCID2,PCID2,0.350678309,4.97E-22,ERP-8
MRPS36,MRPS36,0.350480111,5.26E-22,ERP-8
UCHL5,UCHL5,0.350201827,5.69E-22,ERP-8
ATG3,ATG3,0.34984093,6.31E-22,ERP-8
EEF1E1,EEF1E1,0.34933872,7.29E-22,ERP-8
ENG,ENG,0.349332094,7.30E-22,ERP-8
PCCB,PCCB,0.349279464,7.41E-22,ERP-8
FARSA,FARSA,0.347891445,1.10E-21,ERP-8
POLR3H,POLR3H,0.34776365,1.14E-21,ERP-8
MTX2,MTX2,0.347123569,1.37E-21,ERP-8
CPSF2,CPSF2,0.346313348,1.72E-21,ERP-8
PLRG1,PLRG1,0.346161466,1.79E-21,ERP-8
NDUFV3,NDUFV3,0.345665976,2.06E-21,ERP-8
SLC25A13,SLC25A13,0.345278279,2.30E-21,ERP-8
C6orf89,C6orf89,0.345248917,2.32E-21,ERP-8
NDUFC1,NDUFC1,0.34494584,2.53E-21,ERP-8
ARMC1,ARMC1,0.344575844,2.80E-21,ERP-8
RPL26L1,RPL26L1,0.344378215,2.96E-21,ERP-8
WIPF3,WIPF3,0.344027509,3.27E-21,ERP-8
SDHD,SDHD,0.343709445,3.57E-21,ERP-8
ACADS,ACADS,0.342659856,4.79E-21,ERP-8
TUSC2,TUSC2,0.342552408,4.93E-21,ERP-8
HDDC3,HDDC3,0.34203617,5.70E-21,ERP-8
PQLC1,PQLC1,0.341754899,6.16E-21,ERP-8
PSMD12,PSMD12,0.341617537,6.40E-21,ERP-8
COPB2,COPB2,0.340625331,8.42E-21,ERP-8
SYNGR1,SYNGR1,0.340319086,9.17E-21,ERP-8
BLVRA,BLVRA,0.340274941,9.28E-21,ERP-8
COMMD1,COMMD1,0.340090644,9.76E-21,ERP-8
RNF40,RNF40,0.339890435,1.03E-20,ERP-8
ZC3H13,ZC3H13,0.33876343,1.41E-20,ERP-8
SSSCA1,SSSCA1,0.33869912,1.43E-20,ERP-8
COG2,COG2,0.338397139,1.56E-20,ERP-8
HCCS,HCCS,0.337769065,1.85E-20,ERP-8
HSPA4,HSPA4,0.33702598,2.26E-20,ERP-8
PIR,PIR,0.336724412,2.46E-20,ERP-8
GTF2H3,GTF2H3,0.336285469,2.77E-20,ERP-8
NDUFA8,NDUFA8,0.33604449,2.96E-20,ERP-8
GATA1,GATA1,0.335936518,3.05E-20,ERP-8
GPALPP1,GPALPP1,0.335291934,3.63E-20,ERP-8
FXN,FXN,0.33481255,4.13E-20,ERP-8
CRLS1,CRLS1,0.334242672,4.82E-20,ERP-8
FOXRED1,FOXRED1,0.334072197,5.05E-20,ERP-8
MRPL49,MRPL49,0.334030084,5.10E-20,ERP-8
DSN1,DSN1,0.332438024,7.83E-20,ERP-8
MRPL34,MRPL34,0.332184857,8.38E-20,ERP-8
PIP5K1B,PIP5K1B,0.331790728,9.32E-20,ERP-8
MUT,MUT,0.331681107,9.59E-20,ERP-8
CDC16,CDC16,0.330619132,1.27E-19,ERP-8
ATPIF1,ATPIF1,0.330284016,1.39E-19,ERP-8
MRPL18,MRPL18,0.329704254,1.62E-19,ERP-8
CCDC34,CCDC34,0.329626254,1.66E-19,ERP-8
BRF2,BRF2,0.329130565,1.89E-19,ERP-8
MRPS10,MRPS10,0.329126255,1.89E-19,ERP-8
SMC6,SMC6,0.329052863,1.93E-19,ERP-8
TEX30,TEX30,0.328909223,2.01E-19,ERP-8
MRPS18C,MRPS18C,0.328860924,2.03E-19,ERP-8
SLIRP,SLIRP,0.328838456,2.04E-19,ERP-8
PTCD3,PTCD3,0.328811341,2.06E-19,ERP-8
SNRNP40,SNRNP40,0.328703735,2.12E-19,ERP-8
SUCLA2,SUCLA2,0.328455902,2.26E-19,ERP-8
COQ9,COQ9,0.327658549,2.79E-19,ERP-8
ACAT1,ACAT1,0.327090402,3.24E-19,ERP-8
ACSS1,ACSS1,0.326988748,3.33E-19,ERP-8
CINP,CINP,0.326359134,3.93E-19,ERP-8
CISD1,CISD1,0.325969763,4.35E-19,ERP-8
MCM10,MCM10,0.32535909,5.11E-19,ERP-8
CEP57L1,CEP57L1,0.325272604,5.22E-19,ERP-8
PSMC2,PSMC2,0.323939093,7.39E-19,ERP-8
IL15RA,IL15RA,0.323722225,7.82E-19,ERP-8
FTSJ3,FTSJ3,0.323580701,8.11E-19,ERP-8
TIMM8B,TIMM8B,0.323578614,8.12E-19,ERP-8
CHCHD1,CHCHD1,0.32306064,9.28E-19,ERP-8
NFIA,NFIA,0.322224983,1.15E-18,ERP-8
EIF5B,EIF5B,0.322036968,1.21E-18,ERP-8
ARFRP1,ARFRP1,0.322025677,1.21E-18,ERP-8
NECAP2,NECAP2,0.321499603,1.39E-18,ERP-8
CPSF3,CPSF3,0.321093504,1.54E-18,ERP-8
SF3B3,SF3B3,0.321040686,1.56E-18,ERP-8
LINC00116,LINC00116,0.320831958,1.65E-18,ERP-8
PTRH2,PTRH2,0.320703548,1.71E-18,ERP-8
RNF5,RNF5,0.320564345,1.77E-18,ERP-8
SARS,SARS,0.320342105,1.87E-18,ERP-8
LAS1L,LAS1L,0.320103482,1.99E-18,ERP-8
AP2B1,AP2B1,0.319449456,2.35E-18,ERP-8
NDUFB3,NDUFB3,0.319386775,2.39E-18,ERP-8
PDHA1,PDHA1,0.319034589,2.61E-18,ERP-8
MLH1,MLH1,0.318785111,2.79E-18,ERP-8
DDX1,DDX1,0.318717715,2.83E-18,ERP-8
HLTF,HLTF,0.317979362,3.42E-18,ERP-8
ACAA2,ACAA2,0.317945356,3.45E-18,ERP-8
ABCE1,ABCE1,0.317442922,3.92E-18,ERP-8
YARS2,YARS2,0.317213965,4.15E-18,ERP-8
MRPS14,MRPS14,0.316987034,4.40E-18,ERP-8
SRI,SRI,0.31659825,4.86E-18,ERP-8
CCT6A,CCT6A,0.315917812,5.77E-18,ERP-8
SPATA5,SPATA5,0.31544564,6.49E-18,ERP-8
EXOSC3,EXOSC3,0.314773785,7.69E-18,ERP-8
MTFR1,MTFR1,0.314490084,8.26E-18,ERP-8
PSMC6,PSMC6,0.314207403,8.86E-18,ERP-8
HARS,HARS,0.31388762,9.60E-18,ERP-8
BRIX1,BRIX1,0.313276671,1.12E-17,ERP-8
DPY30,DPY30,0.312085124,1.51E-17,ERP-8
SKIV2L2,SKIV2L2,0.311857424,1.59E-17,ERP-8
AASDHPPT,AASDHPPT,0.31112967,1.91E-17,ERP-8
DAP3,DAP3,0.310467636,2.25E-17,ERP-8
SLC25A17,SLC25A17,0.309826645,2.63E-17,ERP-8
NSMCE2,NSMCE2,0.309549361,2.82E-17,ERP-8
MRPL42,MRPL42,0.309156785,3.11E-17,ERP-8
MICU2,MICU2,0.309128677,3.13E-17,ERP-8
NMT1,NMT1,0.308705681,3.47E-17,ERP-8
UQCC2,UQCC2,0.308490837,3.66E-17,ERP-8
TAF9,TAF9,0.308286237,3.85E-17,ERP-8
GADD45GIP1,GADD45GIP1,0.307954518,4.17E-17,ERP-8
KLHL12,KLHL12,0.307740373,4.40E-17,ERP-8
BCCIP,BCCIP,0.307575854,4.58E-17,ERP-8
NUDT19,NUDT19,0.307571013,4.58E-17,ERP-8
COMMD4,COMMD4,0.307499211,4.66E-17,ERP-8
VDAC3,VDAC3,0.307488454,4.67E-17,ERP-8
CNNM2,CNNM2,0.307406086,4.77E-17,ERP-8
SRPK1,SRPK1,0.307324133,4.87E-17,ERP-8
COPS4,COPS4,0.306915073,5.38E-17,ERP-8
VPS52,VPS52,0.30683344,5.48E-17,ERP-8
C1D,C1D,0.306770624,5.57E-17,ERP-8
PDZD11,PDZD11,0.30667725,5.70E-17,ERP-8
VPS29,VPS29,0.306675232,5.70E-17,ERP-8
NUP107,NUP107,0.306072757,6.60E-17,ERP-8
PSMD6,PSMD6,0.305696826,7.23E-17,ERP-8
IMMT,IMMT,0.305251861,8.05E-17,ERP-8
GTF2H1,GTF2H1,0.304898316,8.77E-17,ERP-8
IARS,IARS,0.303784828,1.15E-16,ERP-8
PSMD1,PSMD1,0.303052946,1.37E-16,ERP-8
SNRPG,SNRPG,0.30295425,1.40E-16,ERP-8
NDUFAF4,NDUFAF4,0.302406636,1.60E-16,ERP-8
FASTKD1,FASTKD1,0.301735372,1.88E-16,ERP-8
NDUFV2,NDUFV2,0.301489687,1.99E-16,ERP-8
TRIP4,TRIP4,0.300811447,2.34E-16,ERP-8
RCL1,RCL1,0.300780418,2.36E-16,ERP-8
TDG,TDG,0.300404257,2.58E-16,ERP-8
APEX2,APEX2,0.30039691,2.58E-16,ERP-8
PRPS1,PRPS1,0.299493206,3.20E-16,ERP-8
XPR1,XPR1,0.299155528,3.46E-16,ERP-8
NARS,NARS,0.298016978,4.53E-16,ERP-8
NAP1L4,NAP1L4,0.297777653,4.80E-16,ERP-8
GIGYF2,GIGYF2,0.29692244,5.86E-16,ERP-8
MOB4,MOB4,0.29676231,6.09E-16,ERP-8
RFK,RFK,0.296523462,6.44E-16,ERP-8
TAF1B,TAF1B,0.296415503,6.60E-16,ERP-8
TPGS2,TPGS2,0.29603112,7.22E-16,ERP-8
CCNA2,CCNA2,0.295876919,7.49E-16,ERP-8
ISOC1,ISOC1,0.29574493,7.72E-16,ERP-8
GLRX2,GLRX2,0.295659824,7.88E-16,ERP-8
CLTC,CLTC,0.295656862,7.88E-16,ERP-8
HNRNPF,HNRNPF,0.295596566,7.99E-16,ERP-8
PSMF1,PSMF1,0.294306806,1.08E-15,ERP-8
SCOC,SCOC,0.294247321,1.09E-15,ERP-8
SNAPC5,SNAPC5,0.294084382,1.14E-15,ERP-8
PDHX,PDHX,0.293872007,1.19E-15,ERP-8
SUPT4H1,SUPT4H1,0.293705582,1.24E-15,ERP-8
EIF4E2,EIF4E2,0.29332112,1.36E-15,ERP-8
SLC39A8,SLC39A8,0.293002554,1.46E-15,ERP-8
ADAL,ADAL,0.292978217,1.47E-15,ERP-8
APOBEC3C,APOBEC3C,0.292468808,1.65E-15,ERP-8
MRPS16,MRPS16,0.292460478,1.65E-15,ERP-8
FARSB,FARSB,0.291592334,2.02E-15,ERP-8
NDUFS1,NDUFS1,0.290100931,2.84E-15,ERP-8
FASTKD2,FASTKD2,0.290095148,2.84E-15,ERP-8
EIF2B5,EIF2B5,0.288983739,3.66E-15,ERP-8
PRDX3,PRDX3,0.288763422,3.85E-15,ERP-8
API5,API5,0.287555141,5.06E-15,ERP-8
VBP1,VBP1,0.287405619,5.24E-15,ERP-8
ANAPC7,ANAPC7,0.287301852,5.36E-15,ERP-8
HBS1L,HBS1L,0.287276738,5.39E-15,ERP-8
HPS1,HPS1,0.28721765,5.46E-15,ERP-8
SLC25A38,SLC25A38,0.286533356,6.38E-15,ERP-8
GUF1,GUF1,0.286276204,6.76E-15,ERP-8
ICA1,ICA1,0.286229416,6.83E-15,ERP-8
RIOK1,RIOK1,0.285084856,8.82E-15,ERP-8
ATG4C,ATG4C,0.284990003,9.01E-15,ERP-8
